id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
"LockedOutOfHeaven,Bruno Mars,Locked Out of Heaven,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,6157080"
"WhenIWasYourMan,Bruno Mars,When I Was Your Man,Both,,2013,,Ballad,""Love, Deep, Party"",VeryEasy,,,6157080"
"CallMeMaybe,Carly Rae Jepsen,Call Me Maybe,Women,English,2011,,Pop,""Party, Love"",Medium,Coop,120,1673192"
"DoYouReallyWantToHurtMe,Culture Club,Do You Really Want To Hurt Me,Men,English,1982,,Pop,""Deep, Love"",VeryEasy,Coop,100,303135"
"ComeOnEileen,Dexy's Midnight Runners,Come On Eileen,Both,,1982,,Rock,""Love, Deep, Party"",Easy,,,396029"
"Lights,Ellie Goulding,Lights,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,707980"
"MyLovin,En Vogue,My Lovin' (You're Never Gonna Get It),Both,,1992,,Pop,""Love, Deep, Party"",VeryEasy,,,90712"
"ShakeItOut,Florence + The Machine,Shake It Out,Both,,2011,,Rock,""Love, Deep, Party"",VeryEasy,,,4502741"
"TheSweetEscape,Gwen Stefani ft. Akon,The Sweet Escape,Both,,2006,,Pop,""Love, Deep, Party"",VeryEasy,,,161519"
"Radioactive,Imagine Dragons,Radioactive,Both,,2012,,Rock,""Love, Deep, Party"",VeryEasy,,,6240279"
"Impossible,James Arthur,Impossible,Both,,2012,,Ballad,""Love, Deep, Party"",VeryEasy,,,6170857"
"Up,James Morrison ft. Jessie J,Up,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1194860"
"Domino,Jessie J,Domino,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1321226"
"DieYoung,Ke$ha,Die Young,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,5954548"
"IShouldBeSoLucky,Kylie Minogue,I Should Be So Lucky,Both,,1987,,Pop,""Love, Deep, Party"",VeryEasy,,,300587"
"Bulletproof,La Roux,Bulletproof,Both,,2009,,Electro,""Love, Deep, Party"",VeryEasy,,,371822"
"TheEdgeOfGlory,Lady Gaga,The Edge of Glory,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1075407"
AllNightLong,Lionel Richie,All Night Long,Men,English,1983,,Pop,Party,Easy,Coop,109,103599
"IFollowRivers,Lykke Li,I Follow Rivers,Women,English,2011,,Pop,""Love, Deep"",VeryEasy,,122,1306557"
"OneMoreNight,Maroon 5,One More Night,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,4361011"
"Hello,Martin Solveig ft. Dragonette,Hello,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,1345364"
"Mirrors,Natalia Kills,Mirrors,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,1242096"
"SayItRight,Nelly Furtado,Say It Right,Both,,2006,,Pop,""Love, Deep, Party"",VeryEasy,,,123339"
"Troublemaker,Olly Murs ft. Flo Rida,Troublemaker,Both,,2012,,Pop,""Love, Deep, Party"",VeryEasy,,,156970252"
"Apologize,OneRepublic ft. Timbaland,Apologize,Men,English,2007,,Pop,""Love, Deep"",Medium,,118,103293"
Fireflies,Owl City,Fireflies,Men,English,2009,,Pop,Deep,Hard,Coop,90,390346
"HeyThereDelilah,Plain White T's,Hey There Delilah,Both,,2006,,Ballad,""Love, Deep, Party"",VeryEasy,,,140119072"
"ILikeToMoveIt,Reel 2 Real,I Like to Move It,Both,,1993,,Electro,""Love, Deep, Party"",VeryEasy,,,891183372"
"GetBusy,Sean Paul,Get Busy,Both,,2003,,HipHop,""Love, Deep, Party"",VeryEasy,,,41925041"
"Boombastic,Shaggy,Boombastic,Both,,1995,,Electro,""Love, Deep, Party"",Easy,,,213082"
DontYou,Simple Minds,Don't You (Forget About Me),Men,English,1985,,Rock,Love,Easy,,111,303668
"EternalFlame,The Bangles,Eternal Flame,Both,,1988,,Ballad,""Love, Deep, Party"",VeryEasy,,,294524"
"HeavyCross,The Gossip,Heavy Cross,Both,,2009,,Rock,""Love, Deep, Party"",VeryEasy,,,296358"
"WrittenInTheStars,Tinie Tempah,Written in the Stars,Both,,2010,,HipHop,""Love, Deep, Party"",VeryEasy,,,639268"
"DJGotUsFallingInLove,Usher ft. Pitbull,DJ Got Us Falling in Love,Both,,2010,,Electro,""Love, Deep, Party"",VeryEasy,,,1441334"
"YMCA,Village People,Y.M.C.A.,Both,,1978,,Pop,""Love, Deep, Party"",VeryEasy,,,660235"
WakeMeUp,Avicii,Wake Me Up,Men,English,2013,,Electro,Party,VeryHard,,124,6893935
Pompeii,Bastille,Pompeii,Men,English,2013,,Pop,Party,Medium,Coop,127,6189193
"JustTheWayYouAre,Bruno Mars,Just the Way You Are,Both,,2010,,Pop,""Love, Deep, Party"",VeryEasy,,,739505"
"RatherBe,Clean Bandit,Rather Be,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,7298238"
"Magic,Coldplay,Magic,Both,,2014,,Rock,""Love, Deep, Party"",VeryEasy,,,7500276"
"LetItGo,Demi Lovato,Let It Go,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,7058535"
Burn,Ellie Goulding,Burn,Women,English,2013,,Pop,Party,Medium,Coop,87,6825395
"Missing,Everything But The Girl,Missing (Todd Terry Club Mix),Both,,2017,,Electro,""Love, Deep, Party"",VeryEasy,,,326572907"
"HowIFeel,Flo Rida,How I Feel,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,7062054"
