id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
"Shotgun,George Ezra,Shotgun,Both,,2018,,Pop,""Love, Deep, Party"",Easy,,,58954392"
"Natural,Imagine Dragons,Natural,Both,,2018,,Rock,""Love, Deep, Party"",VeryHard,,,77648602"
"SayYouWontLetGo,James Arthur,Say You Won't Let Go,Both,,2016,,Ballad,""Love, Deep, Party"",Hard,,,13994984"
"Mama,Jonas Blue,Mama,Both,,2017,,Pop,""Love, Deep, Party"",Hard,,,40801701"
"Rise,Jonas Blue,Rise,Both,,2018,,Pop,""Love, Deep, Party"",Hard,,,64092172"
"ThisGirl,Kungs,This Girl,Both,,2016,,Electro,""Love, Deep, Party"",VeryHard,,,14459240"
"SomeoneYouLoved,Lewis Capaldi,Someone You Loved,Men,English,2019,,Ballad,""Love, Deep"",Easy,,110,78031872"
"Numb,Linkin Park,Numb,Both,,2003,,Rock,""Love, Deep, Party"",Medium,,,81847"
LoveSomeone,Lukas Graham,Love Someone,Men,English,2018,,Ballad,Love,Easy,,86,72286752
DontCallMeUp,Mabel,Don't Call Me Up,Women,English,2019,,Pop,Party,Easy,,99,84226812
"Friends,Marshmello E Anne-Marie,FRIENDS,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,714618351"
"Katchi,Ofenbach vs. Nick Waterhouse,Katchi,Both,,2017,,Pop,""Love, Deep, Party"",Easy,,,46387252"
"LetYouLoveMe,Rita Ora,Let You Love Me,Both,,2018,,Pop,""Love, Deep, Party"",Hard,,,73444962"
"Angels,Robbie Williams,Angels,Both,,1997,,Ballad,""Love, Deep, Party"",Medium,,,302349"
"Speechless,Robin Schulz,Speechless,Both,,2018,,Electro,""Love, Deep, Party"",Medium,,,78629232"
"TheseDays,Rudimental,These days,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,54654682"
"NoLie,Sean Paul,No Lie,Both,,2017,,Pop,""Love, Deep, Party"",VeryHard,,,14582062"
"Wolves,Selena Gomez x Marshmello,Wolves,Both,,2017,,Electro,""Love, Deep, Party"",Medium,,,50319082"
"Stitches,Shawn Mendes,Stitches,Both,,2015,,Pop,""Love, Deep, Party"",Medium,,,11748100"
"Wannabe,Spice Girls,Wannabe,Both,,1996,,Pop,""Love, Deep, Party"",Hard,,,302002"
LeaveALightOn,Tom Walker,Leave a Light On,Men,English,2017,,Pop,Deep,Easy,,69,48890472
"ThankUNext,Ariana Grande,""Thank U, Next"",Both,,2018,,Pop,""Love, Deep, Party"",Hard,,,86773062"
SoAmI,Ava Max,So Am I,Women,English,2019,,Pop,Party,Medium,Coop,130,89263772
BadGuy,Billie Eilish,bad guy,Women,English,2019,,Pop,Deep,Medium,Coop,135,91598612
"Blame,Calvin Harris,Blame,Both,,2014,,Electro,""Love, Deep, Party"",Easy,,,8391458"
"DontStartNow,Dua Lipa,Don't Start Now,Both,,2020,,Electro,""Love, Deep, Party"",Medium,,,117053822"
"ICantDance,Genesis,I Can't Dance,Both,,1991,,Rock,""Love, Deep, Party"",Easy,,,1347734"
Thunder,Imagine Dragons,Thunder,Men,English,2017,,Pop,Party,VeryHard,Coop,84,68346981
HoldBackTheRiver,James Bay,Hold Back The River,Men,English,2014,,Pop,Love,Easy,Coop,135,9097101
"Sucker,Jonas Brothers,Sucker,Both,,2019,,Rock,""Love, Deep, Party"",Medium,,,99438162"
"Yummy,Justin Bieber,Yummy,Both,,2020,,HipHop,""Love, Deep, Party"",Hard,,,125128132"
"ChainedToTheRhythm,Katy Perry,Chained To The Rhythm,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,65278322"
"YouKeepMeHanginOn,Kim Wilde,You Keep Me Hangin' On,Both,,1986,,Pop,""Love, Deep, Party"",Easy,,,6936055"
"BlackHorseAndTheCherryTree,KT Tunstall,Black Horse And The Cherry Tree,Both,,2004,,Rock,""Love, Deep, Party"",Medium,,,301173"
"BeforeYouGo,Lewis Capaldi,Before You Go,Both,,2019,,Ballad,""Love, Deep, Party"",Hard,,,119043862"
"ForYou,Liam Payne E Rita Ora,For You,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,140571342"
"SomewhereIBelong,Linkin Park,Somewhere I Belong,Both,,2003,,Rock,""Love, Deep, Party"",Hard,,,81847"
GoodAsHell,Lizzo,Good As Hell,Women,English,2016,,Pop,Love,Medium,Coop,96,127779952
"LeanOn,Major Lazer x DJ Snake,Lean On,Both,,2015,,Electro,""Love, Deep, Party"",Medium,,,11794498"
"Memories,Maroon 5,Memories,Both,,2019,,Ballad,""Love, Deep, Party"",Hard,,,236529752"
Happier,Marshmello,Happier,Men,English,2018,,Electro,Deep,Easy,Coop,100,484483015
"SomeSay,Nea,Some Say,Both,,2019,,Pop,""Love, Deep, Party"",Medium,,,114114252"
HighHopes,Panic! At The Disco,High Hopes,Men,English,2017,,Pop,Party,Hard,Coop,82,66313782
"TooGoodAtGoodbyes,Sam Smith,Too Good At Goodbyes,Both,,2017,,Ballad,""Love, Deep, Party"",Medium,,,50607242"
KissFromARose,Seal,Kiss From A Rose,Men,English,1994,,Pop,Love,Medium,Coop,132,431501
"LoseYouToLoveMe,Selena Gomez,Lose You To Love Me,Both,,2019,,Ballad,""Love, Deep, Party"",Medium,,,125608742"
"IfICantHaveYou,Shawn Mendes,If I Can't Have You,Both,,2019,,Pop,""Love, Deep, Party"",Medium,,,95100972"
"IJustCantWaitToBeKing,The Lion King,I Just Can't Wait To Be King,Both,,1994,,Ballad,""Love, Deep, Party"",Easy,,,487940"
"HoHey,The Lumineers,Ho Hey,Both,,2012,,Ballad,""Love, Deep, Party"",Medium,,,111543132"
DanceMonkey,TONES AND I,Dance Monkey,Women,English,2019,,Pop,Party,VeryEasy,,98,108770322
"Falling,Trevor Daniel,Falling,Both,,2018,,HipHop,""Love, Deep, Party"",Medium,,,241350872"
BackToBlack,Amy Winehouse,Back To Black,Women,English,2006,,Pop,Deep,Easy,Coop,124,217795
"KingsQueens,Ava Max,Kings & Queens,Both,,2020,,Pop,""Love, Deep, Party"",Hard,,,135440642"
"Everybody,Backstreet Boys,Everybody (Backstreet’s Back),Both,,1997,,Pop,""Love, Deep, Party"",Medium,,,1442196"
EverythingIWanted,Billie Eilish,Everything I Wanted,Women,English,2019,,Pop,Deep,Easy,Coop,120,118529282
"Giant,Calvin Harris feat. Rag’n’Bone Man,Giant,Both,,2019,,Electro,""Love, Deep, Party"",Medium,,,83805552"
"AshesToAshes,David Bowie,Ashes to Ashes,Both,,1980,,Rock,""Love, Deep, Party"",Hard,,,56889622"
"LetsLove,David Guetta & Sia,Let’s Love,Both,,2020,,Electro,""Love, Deep, Party"",Easy,,,171745682"
"BadLiar,Imagine Dragons,Bad Liar,Both,,2018,,Rock,""Love, Deep, Party"",Medium,,,77648602"
"YouDontKnowMe,Jax Jones feat. RAYE,You Don’t Know Me,Both,,2016,,Electro,""Love, Deep, Party"",Hard,,,14781371"
"HeadHeart,Joel Corry x MNEK,Head & Heart,Both,,2020,,Electro,""Love, Deep, Party"",Medium,,,157795452"
"StupidLove,Lady Gaga,Stupid Love,Both,,2020,,Pop,""Love, Deep, Party"",VeryHard,,,151092632"
"DontWorry,Madcon feat. Ray Dalton,Don’t Worry,Both,,2020,,Pop,""Love, Deep, Party"",Medium,,,9884332"
"Jerusalema,Master KG feat. Nomcebo,Jerusalema,Both,,2019,,Electro,""Love, Deep, Party"",Medium,,,159529882"
"Wellerman,Nathan Evans,Wellerman (Sea Shanty),Both,,2021,,Pop,""Love, Deep, Party"",Hard,,,201834742"
"HeadShouldersKneesToes,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Both,,2020,,Electro,""Love, Deep, Party"",Hard,,,146399782"
"Human,Rag’n’Bone Man,Human,Both,,2016,,Ballad,""Love, Deep, Party"",Medium,,,15188215"
PrettyFly,The Offspring,Pretty Fly (For A White Guy),Men,English,1998,,Rock,Party,Easy,Coop,143,14717564
"BreakingMe,Topic & A7S,Breaking Me,Men,English,2019,,Pop,""Party, Love"",Easy,,122,122983832"
"LastChristmas,Wham!,Last Christmas,Both,,1984,,Pop,""Love, Deep, Party"",Medium,,,113443"
"Control,Zoe Wees,Control,Both,,2020,,Ballad,""Love, Deep, Party"",Easy,,,135340802"
"AWholeNewWorld,Aladdin,A Whole New World,Both,,1992,,Ballad,""Love, Deep, Party"",Hard,,,12626032"
"Positions,Ariana Grande,positions,Both,,2020,,Pop,""Love, Deep, Party"",VeryHard,,,183019972"
"LeaveTheDoorOpen,""Bruno Mars, Anderson .Paak, Silk Sonic"",Leave The Door Open,Men,English,2021,,Ballad,Love,Hard,Coop,74,298400782"
"Butterfly,Crazy Town,Butterfly,Both,,2000,,Rock,""Love, Deep, Party"",Medium,,,1206154"
"EnjoyTheSilence,Depeche Mode,Enjoy The Silence,Both,,1990,,Ballad,""Love, Deep, Party"",Easy,,,6709163"
"SavageLove,Jason Derulo & Jawsh 685,Savage Love (Laxed - Siren Beat),Both,,2020,,Pop,""Love, Deep, Party"",VeryHard,,,153680822"
"WhatAboutUs,P!nk,What About Us,Both,,2017,,Pop,""Love, Deep, Party"",Hard,,,45943192"
"Monster,""Shawn Mendes, Justin Bieber"",Monster,Both,,2020,,Pop,""Love, Deep, Party"",Hard,,,187735922"
Snowman,Sia,Snowman,Women,English,2020,,Pop,Party,Medium,,70,50980792
SevenNationArmy,The White Stripes,Seven Nation Army,Men,English,2003,Timeless,Rock,Party,Easy,,124,188663612
"Complicated,Avril Lavigne,Complicated,Both,,2002,,Rock,""Love, Deep, Party"",Hard,,,1440870"
"StandByMe,Ben E. King,Stand by Me,Both,,1961,,Ballad,""Love, Deep, Party"",VeryEasy,,,14632126"
"HappierThanEver,Billie Eilish,Happier Than Ever,Both,,2021,,Rock,""Love, Deep, Party"",Easy,,,248216622"
"Butter,BTS,Butter,Both,,2021,,Pop,""Love, Deep, Party"",Medium,,,277545462"
"HowLong,Charlie Puth,How Long,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,49252312"
"2U,David Guetta ft. Justin Bieber,2U,Both,,2017,,Electro,""Love, Deep, Party"",Medium,,,42589701"
"BadHabits,Ed Sheeran,Bad Habits,Both,,2021,,Pop,""Love, Deep, Party"",Easy,,,238407992"
BlueDaBaDee,Eiffel 65,Blue (Da Ba Dee),Men,English,1998,,Electro,Party,VeryEasy,,128,9076739
HeatWaves,Glass Animals,Heat Waves,Men,English,2020,,Electro,Deep,VeryEasy,,81,164586122
"SomebodyThatIUsedToKnow,Gotye ft. Kimbra,Somebody That I Used to Know,Both,,2011,,Pop,""Love, Deep, Party"",Easy,,,1382596"
"Acapulco,Jason Derulo,Acapulco,Both,,2021,,Pop,""Love, Deep, Party"",Hard,,,254203522"
"OldTownRoad,Lil Nas X feat. Billy Ray Cyrus,Old Town Road (Remix),Both,,2019,,HipHop,""Love, Deep, Party"",Hard,,,100896762"
"GetThePartyStarted,P!nk,Get the Party Started,Both,,2001,,Pop,""Love, Deep, Party"",Easy,,,91632082"
"DeathBed,Powfu ft. Beabadoobee,death bed (Coffee for Your Head),Both,,2020,,HipHop,""Love, Deep, Party"",VeryEasy,,,130595652"
"IWantToBreakFree,Queen,I Want To Break Free,Both,,1984,,Rock,""Love, Deep, Party"",Medium,,,726319"
"YourSong,Rita Ora,Your Song,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,42143441"
"Friday,Riton X Nightcrawlers ft. Mufasa & Hypeman,Friday,Both,,2021,,Electro,""Love, Deep, Party"",VeryHard,,,193464972"
"LoveTonight,Shouse,Love Tonight,Both,,2017,,Electro,""Love, Deep, Party"",VeryEasy,,,52583212"
"YouBrokeMeFirst,Tate McRae,you broke me first,Both,,2020,,Pop,""Love, Deep, Party"",VeryEasy,,,141630082"
"WithoutYou,The Kid LAROI,WITHOUT YOU,Both,,2020,,Ballad,""Love, Deep, Party"",VeryEasy,,,247297962"
"YourLove,ATB x Topic x A7S,Your Love (9PM),Both,,2021,,Electro,""Love, Deep, Party"",VeryEasy,,,198276362"
"KungFuFighting,Carl Douglas,Kung Fu Fighting,Both,,1974,,Pop,""Love, Deep, Party"",Medium,,,61653462"
"Solo,Clean Bandit ft. Demi Lovato,Solo,Both,,2018,,Electro,""Love, Deep, Party"",Hard,,,63148482"
"MyUniverse,Coldplay x BTS,My Universe,Both,,2021,,Pop,""Love, Deep, Party"",Medium,,,259988612"
"WeDontTalkAboutBruno,Disney's Encanto,We don't talk about Bruno,Both,,2021,,Pop,""Love, Deep, Party"",Hard,,,272207802"
"NeverGoingHome,Kungs,Never Going Home,Both,,2021,,Electro,""Love, Deep, Party"",VeryEasy,,,230124382"
"Shallow,Lady Gaga & Bradley Cooper,Shallow,Both,,2018,,Ballad,""Love, Deep, Party"",VeryEasy,,,74434962"
PieceOfYourHeart,Meduza ft. Goodboys,Piece Of Your Heart,Men,English,2019,,Electro,Love,Medium,,124,98917002
DragosteaDinTei,O-Zone,Dragostea Din Tei,Men,Other,2003,,Electro,Party,Hard,Coop,130,269643742
"WastedLove,Ofenbach ft. Lagique,Wasted Love,Both,,2021,,Electro,""Love, Deep, Party"",Easy,,,197488142"
"TheSign,Ace of Base,The Sign,Both,,1993,,Pop,""Love, Deep, Party"",VeryHard,,,9535320"
"MillionDollarBaby,Ava Max,Million Dollar Baby,Both,,2022,,Pop,""Love, Deep, Party"",VeryHard,,,350460017"
"YourPower,Billie Eilish,Your Power,Both,,2021,,Pop,""Love, Deep, Party"",Medium,,,248216622"
"Dynamite,BTS,Dynamite,Both,,2020,,HipHop,""Love, Deep, Party"",Hard,,,275045842"
"LifeOnMars,David Bowie,Life On Mars?,Both,,1971,,Rock,""Love, Deep, Party"",Easy,,,303415"
"MerryChristmas,Ed Sheeran & Elton John,Merry Christmas,Both,,2021,,Pop,""Love, Deep, Party"",Easy,,,275797882"
"Abc,GAYLE,abc (nicer),Both,,2022,,Pop,""Love, Deep, Party"",Medium,,,275008112"
"Bones,Imagine Dragons,Bones,Both,,2022,,Pop,""Love, Deep, Party"",Medium,,,302204417"
GoldenHour,JVKE,Golden Hour,Men,English,2022,,Ballad,Love,Easy,,94,353172167
"StrongerWhatDoesntKillYou,Kelly Clarkson,Stronger (What Doesn't Kill You),Both,,2012,,Pop,""Love, Deep, Party"",Medium,,,1307135"
"HoldMyHand,Lady Gaga,Hold My Hand,Both,,2022,,Pop,""Love, Deep, Party"",Easy,,,10990494"
"WhereAreYouNow,Lost Frequencies ft. Calum Scott,Where Are You Now,Both,,2021,,Electro,""Love, Deep, Party"",Medium,,,244103182"
"Thunderclouds,""LSD (Labrinth, Sia & Diplo)"",Thunderclouds,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,70269102"
"LeaveBeforeYouLoveMe,Marshmello & Jonas Brothers,Leave Before You Love Me,Both,,2021,,Pop,""Love, Deep, Party"",Hard,,,231761642"
"AnotherOneBitesTheDust,Queen,Another One Bites The Dust,Both,,1980,,Rock,""Love, Deep, Party"",Medium,,,1121182"
"Snap,Rosa Linn,SNAP,Both,,2022,,Ballad,""Love, Deep, Party"",Medium,,,586548092"
"Trampoline,SHAED,Trampoline,Both,,2018,,Pop,""Love, Deep, Party"",Hard,,,753618451"
"WhenYoureGone,Shawn Mendes,When You're Gone,Both,,2022,,Pop,""Love, Deep, Party"",Medium,,,307290107"
"AnotherLove,Tom Odell,Another Love,Both,,2012,,Ballad,""Love, Deep, Party"",VeryEasy,,,6443018"
CiaoAdios,Anne-Marie,Ciao Adios,Women,,2017,,Pop,Love,VeryHard,Coop,,15319245
OurSong,Anne-Marie & Niall Horan,Our Song,Both,,2021,,Pop,Love,Easy,Coop,,227042902
RockAndAHardPlace,Bailey Zimmerman,Rock And A Hard Place,Men,,2022,,Ballad,Love,Hard,Coop,,322347097
HeartWantsWhatItWants,Bebe Rexha,Heart Wants What It Wants,Women,,2023,,Pop,Love,Medium,Coop,,426775917
CrazyWhatLoveCanDo,David Guetta & Becky Hill & Ella Henderson,Crazy What Love Can Do,Women,,2022,,Electro,Party,Hard,Coop,,302805217
EyesClosed,Ed Sheeran,Eyes Closed,Men,,2023,,Pop,Love,Medium,,,418720487
Everywhere,Fleetwood Mac,Everywhere,Women,,1987,Timeless,Rock,Love,Hard,Coop,,80548
Lost,Linkin Park,Lost,Men,,2023,,Rock,Deep,Easy,Coop,,401413077
AboutDamnTime,Lizzo,About Damn Time,Women,,2022,,Pop,Party,Easy,Coop,,334190677
TheKindOfLoveWeMake,Luke Combs,The Kind Of Love We Make,Men,,2022,,Rock,Love,Medium,,,326212507
MadeYouLookAgain,Meghan Trainor,Made You Look (Again),Women,,2022,,Pop,Party,Hard,Coop,,366439167
WreckingBall,Miley Cyrus,Wrecking Ball,Women,,2013,,Pop,Party,Easy,Coop,,6983510
NeverGonnaNotDanceAgain,P!nk,Never Gonna Not Dance Again,Women,,2022,,Pop,Party,VeryHard,Coop,,371500807
ColorsOfTheWind,Pocahontas,Colors Of The Wind,Women,,1995,Timeless,Ballad,Deep,Medium,,,301056
"queenofkings,Alessandra,Queen of Kings,Both,,2023,,Pop,""Love, Deep, Party"",VeryEasy,,,392660267"
"YesAnd,Ariana Grande,""yes, and?"",Both,,2024,,Pop,Party,Easy,,,532976152"
"remember,""Becky Hill, David Guetta"",Remember,Both,,2021,,Electro,""Love, Deep, Party"",VeryEasy,,,236715052"
"eastside,""Benny Blanco, Halsey & Khalid"",Eastside,Both,,2018,,Pop,""Love, Deep, Party"",VeryEasy,,,67820782"
BeautifulThings,Benson Boone,Beautiful Things,Both,,2024,,Rock,Deep,Hard,,,551471602
WhatWasIMadeFor,Billie Eilish,What Was I Made For?,Both,,2023,,Ballad,Deep,Easy,,,463935645
"youarethereason,Calum Scott,You Are The Reason,Both,,2017,,Ballad,""Love, Deep, Party"",VeryEasy,,,58136872"
"desire,""Calvin Harris, Sam Smith"",Desire,Both,,2023,,Electro,""Love, Deep, Party"",VeryEasy,,,461534045"
EverytimeWeTouch,Cascada,Everytime We Touch,Both,,2005,,Electro,Party,Easy,,,7976692
"goodones,Charli XCX,Good Ones,Both,,2021,,Electro,""Love, Deep, Party"",VeryEasy,,,302039587"
TheATeam,Ed Sheeran,The A Team,Both,,2011,,Ballad,Deep,Medium,,,1126065
Cupid,FIFTY FIFTY,Cupid,Both,,2023,,Pop,Party,Easy,,,628234701
DogDaysAreOver,Florence + The Machine,Dog Days Are Over,Both,,2008,,Rock,Party,Hard,,,697730
"wafflehouse,Jonas Brothers,Waffle House,Both,,2023,,Pop,""Love, Deep, Party"",VeryEasy,,,424037327"
StandingNextToYou,Jung Kook,Standing Next to You,Both,,2023,,Pop,Love,Hard,,,507407161
LoveYourself,Justin Bieber,Love Yourself,Men,,2015,,Ballad,Deep,Medium,Coop,,11674708
Strangers,Kenya Grace,Strangers,Both,,2023,,Electro,Deep,Hard,,,480655305
"yousay,Lauren Daigle,You Say,Both,,2018,,Ballad,""Love, Deep, Party"",VeryEasy,,,83580292"
ForgetMe,Lewis Capaldi,Forget Me,Both,,2022,,Pop,Love,Easy,,,352670597
IfWeEverBrokeUp,Mae Stephens,If We Ever Broke Up,Women,,2023,,Pop,Love,Easy,,,403545977
"youproof,Morgan Wallen,You Proof,Both,,2022,,Pop,""Love, Deep, Party"",VeryEasy,,,767042911"
Uprising,Muse,Uprising,Both,,2009,,Rock,Deep,VeryEasy,,,390984
Good4U,Olivia Rodrigo,good 4 u,Women,,2022,,Rock,Deep,Medium,Coop,,231552772
"evergreen,Omar Apollo,Evergreen (You Didn't Deserve Me At All),Both,,2022,,Ballad,""Love, Deep, Party"",VeryEasy,,,304121887"
IAintWorried,OneRepublic,I Ain't Worried,Both,,2022,,Pop,Party,Medium,,,318263717
ItGoesLikeNanana,Peggy Gou,(It Goes Like) Nanana,Both,,2023,,Electro,Party,VeryEasy,,,445536515
"gimmelove,Sia,Gimme Love,Both,,2023,,Pop,""Love, Deep, Party"",VeryEasy,,,477119765"
LoseControl,Teddy Swims,Lose Control,Men,,2023,,Ballad,Love,VeryHard,Coop,,450730965
"hakunamatata,The Lion King,Hakuna Matata,Both,,1994,,Pop,""Love, Deep, Party"",VeryEasy,,,487940"
DancingInTheMoonlight,Toploader,Dancing in the Moonlight,Men,,2000,Timeless,Pop,Party,Easy,,,954304
"thisyear,Victor Thompson x Ehis 'D' Greatest,This Year (Blessings),Both,,2023,,Pop,""Love, Deep, Party"",VeryEasy,,,401435087"
ForeverYoung,Alphaville,Forever Young,Both,,1984,,Pop,Deep,Easy,,,83855
Runaway,AURORA,Runaway,Both,,2015,,Pop,Deep,Hard,,,12599720
Supalonely,BENEE ft. Gus Dapperton,Supalonely,Women,English,2019,,Pop,Party,Medium,Coop,,118373072
SlowItDown,Benson Boone,Slow It Down,Both,,2024,,Pop,Love,Hard,,,557965782
BirdsOfAFeather,Billie Eilish,BIRDS OF A FEATHER,Both,,2024,,Pop,Love,Easy,,,586786102
HotToGo,Chappell Roan,HOT TO GO!,Both,,2023,,Pop,Party,VeryEasy,,,488063815
AllMyLove,Coldplay,ALL MY LOVE,Men,English,2024,,Ballad,Love,VeryEasy,,,650278821
HereWithMe,d4vd,Here With Me,Men,English,2022,,Ballad,Love,Easy,,,828353961
Austin,Dasha,Austin,Both,,2024,,Pop,Deep,Easy,,,563390222
IDontWannaWait,David Guetta & OneRepublic,I Don't Wanna Wait,Both,,2024,,Electro,Party,Easy,,,563137892
2Step,Ed Sheeran feat. Lil Baby,2step,Both,,2022,,Pop,Deep,VeryHard,,,309508887
StealTheShow,Elemental,Steal The Show,Men,English,2023,,Pop,Love,Medium,,,455474845
"ILoveYouImSorry,Gracie Abrams,""I Love You, I’m Sorry"",Both,,2024,,Ballad,Love,Easy,,,603616662"
Sharks,Imagine Dragons,Sharks,Both,,2022,,Rock,Deep,Easy,,,330027197
WishYouTheBest,Lewis Capaldi,Wish You The Best,Men,English,2023,,Ballad,Love,VeryEasy,Coop,,426826187
TheEmptinessMachine,Linkin Park,The Emptiness Machine,Both,English,2024,,Rock,Deep,Easy,Coop,,638194471
"2BeLoved,Lizzo,2 Be Loved (Am I Ready),Women,English,2022,,Pop,""Love, Party"",Hard,Coop,,334190677"
Messy,Lola Young,Messy,Both,,2024,,Pop,Deep,Hard,,,591239352
MadLove,Mabel,Mad Love,Women,English,2019,,Pop,Love,Medium,Coop,,111485452
BelongTogether,Mark Ambor,Belong Together,Men,English,2024,,Pop,Love,Medium,Coop,,552043852
MyLoveMineAllMine,Mitski,My Love Mine All Mine,Both,,2023,,Ballad,Love,Easy,,,463824335
YoureWelcome,Moana,You're Welcome,Men,English,2016,,Pop,Party,Medium,Coop,,14582002
TurnOffTheLight,Nelly Furtado,Turn Off The Light,Women,English,2001,,Pop,Deep,VeryHard,Coop,,697807
Heaven,Niall Horan,Heaven,Men,English,2023,,Pop,Deep,Medium,Coop,,413551327
Starships,Nicki Minaj,Starships,Both,,2012,,Pop,Party,Medium,,,2732901
StickSeason,Noah Kahan,Stick Season,Men,English,2022,,Pop,Deep,Easy,,,448625925
Feel,Robbie Williams,Feel,Both,,2002,,Pop,Love,Easy,,,299778
"SingleSoon,Selena Gomez,Single Soon,Both,,2023,,Pop,""Love, Party"",Medium,,,479494735"
GoodNews,Shaboozey,Good News,Men,English,2024,,Pop,Deep,Hard,,,660170121
SoakUpTheSun,Sheryl Crow,Soak Up The Sun,Women,English,2002,,Pop,Party,VeryEasy,Coop,,103245
EnglishmanInNewYork,Sting,Englishman In New York,Both,,1987,,Pop,Deep,Easy,,,247629
"BadDreams,Teddy Swims,Bad Dreams,Both,,2024,,Ballad,""Love, Deep"",Hard,,,636498021"
"IfWeEverMeetAgain,""Timbaland, Katy Perry"",If We Ever Meet Again,Both,,2010,,Pop,Party,Hard,,,443911"
"BangABoomerang,ABBA,Bang-A-Boomerang,Both,,1975,,Pop,""Love, Deep, Party"",Medium,,,119899"
"Chiquitita,ABBA,Chiquitita,Both,,1979,,Ballad,""Love, Deep, Party"",VeryEasy,,,7573078"
DancingQueen,ABBA,Dancing Queen,Women,English,1976,Timeless,Pop,Party,Medium,Coop,100,100323
"DoesYourMotherKnow,ABBA,Does Your Mother Know,Both,,1979,,Pop,""Love, Deep, Party"",Medium,,,100323"
"Eagle,ABBA,Eagle,Both,,1977,,Rock,""Love, Deep, Party"",VeryEasy,,,7573078"
"Fernando,ABBA,Fernando,Both,,1976,,Pop,""Love, Deep, Party"",VeryEasy,,,7573078"
"GimmeGimmeGimme,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Both,,1979,,Pop,""Love, Deep, Party"",Medium,,,100323"
"HappyNewYear,ABBA,Happy New Year,Both,,1980,,Ballad,""Love, Deep, Party"",Easy,,,245956"
"HeadOverHeels,ABBA,Head Over Heels,Both,,1982,,Pop,""Love, Deep, Party"",Hard,,,7573078"
"IDoIDoIDoIDoIDo,ABBA,""I Do, I Do, I Do, I Do, I Do"",Both,,1975,,Pop,""Love, Deep, Party"",Hard,,,7573078"
"KnowingMeKnowingYou,ABBA,""Knowing Me, Knowing You"",Both,,1977,,Ballad,""Love, Deep, Party"",Easy,,,100323"
"MoneyMoneyMoney,ABBA,""Money, Money, Money"",Both,,1976,,Pop,""Love, Deep, Party"",Medium,,,100323"
"OnAndOnAndOn,ABBA,On And On And On,Both,,1980,,Pop,""Love, Deep, Party"",Hard,,,7573078"
"OneManOneWoman,ABBA,""One Man, One Woman"",Both,,1977,,Pop,""Love, Deep, Party"",Medium,,,126543"
"OneOfUs,ABBA,One Of Us,Both,,1981,,Ballad,""Love, Deep, Party"",Easy,,,7573078"
"RingRing,ABBA,Ring Ring,Both,,1973,,Pop,""Love, Deep, Party"",VeryHard,,,7573078"
"SOS,ABBA,SOS,Both,,1975,,Pop,""Love, Deep, Party"",VeryEasy,,,100323"
"SummerNightCity,ABBA,Summer Night City,Both,,1978,,Pop,""Love, Deep, Party"",VeryHard,,,7573078"
"SuperTrouper,ABBA,Super Trouper,Both,,1980,,Pop,""Love, Deep, Party"",Medium,,,100323"
"TakeAChanceOnMe,ABBA,Take A Chance on Me,Both,,1978,,Pop,""Love, Deep, Party"",Hard,,,100323"
"ThankYouForTheMusic,ABBA,Thank You For The Music,Both,,1977,,Ballad,""Love, Deep, Party"",Medium,,,100323"
"ThatsMe,ABBA,That’s Me,Both,,1976,,Pop,""Love, Deep, Party"",VeryHard,,,7573078"
"TheDayBeforeYouCame,ABBA,The Day Before You Came,Both,,1982,,Ballad,""Love, Deep, Party"",Hard,,,7573078"
"TheNameOfTheGame,ABBA,The Name of The Game,Both,,1977,,Pop,""Love, Deep, Party"",Medium,,,100323"
"TheWinnerTakesItAll,ABBA,The Winner Takes It All,Both,,1980,,Ballad,""Love, Deep, Party"",Easy,,,100323"
"UnderAttack,ABBA,Under Attack,Both,,1982,,Pop,""Love, Deep, Party"",Hard,,,7573078"
"VoulezVous,ABBA,Voulez-Vous,Both,,1979,,Pop,""Love, Deep, Party"",Easy,,,100323"
"Waterloo,ABBA,Waterloo,Both,,1974,,Pop,""Love, Deep, Party"",Easy,,,7573078"
"WhenAllIsSaidAndDone,ABBA,When All Is Said And Done,Both,,1981,,Ballad,""Love, Deep, Party"",Easy,,,247657"
"Sacrifice,Elton John,Sacrifice,Both,,1989,,Ballad,""Love, Deep, Party"",VeryEasy,,,4397541"
"TaintedLove,Soft Cell,Tainted Love,Both,,1981,,Pop,""Love, Deep, Party"",Easy,,,548582682"
"EverybodyWantsToRuleTheWorld,Tears for Fears,Everybody Wants To Rule The World,Both,,1985,,Rock,""Love, Deep, Party"",Easy,,,728880031"
"TotalEclipseOfTheHeart,Bonnie Tyler,Total Eclipse Of The Heart,Both,,1983,,Rock,""Love, Deep, Party"",Medium,,,137770592"
